labels,text,lang
ham,"Ce que j'ai dit avant de le dire, c'est stupide d'entendre après que je ne t'aie rien dit, ton père a appelé mon frère et m'a parlé, pas avec moi.",french
ham,Aber ich esse mit meinem Cousin.,german
ham,Yarrr... ????? ???? ??? ????... ?? uumon 2 ???? ?? ?????,hindi
ham,You'd like that wouldn't you? Jerk!,english
ham,"Donne-lui quelque chose à boire, si elle le prend et ne vomit pas, alors tu pourras baisser sa température.",french
ham,"Okey dokey, i‘ll be over in a bit just sorting some stuff out.",english
ham,What was she looking for?,english
ham,"In der Regel kümmert sich der Körper darum zu kaufen, um sicherzustellen, dass es nicht Fortschritte. Können wir pls diesen Vortrag am Samstag fortsetzen.",german
spam,"??? ????????? ?????? ??????, ?? ?? ???? ?? ???? ??? ?? ???? ?????????? ??? ???? ??????? ?? ??? ????? ??? ?? 02073 ?? ??? ???? 2203 ?? 1153 ?? ??? ???? ?? 26 ?????? TMYC ???? ???? ??? DCAT-???? ?????? ???",hindi
ham,Don no da:)Was hast du vor?,german
ham,Nite...,hindi
ham,"??, ?? ??? ???? ??? ??? ??",hindi
ham,Je vous souhaite un bon semestre.,french
ham,??... ?? ????... ????? ?? ??? ?? ???? ??? ?? ??????,hindi
spam,"cmon bébé, me faire excité, *tour* moi sur! Txt moi votre fantasme maintenant bébé -) Im chaud, collant et besoin de vous maintenant. Toutes les réponses coût £1.50. 2 annuler envoyer STOP",french
ham,Somebody set up a website where you can play hold em using eve online spacebucks,english
spam,"FREE MESSAGE Aktivieren Sie Ihre 500 FREE Textnachrichten, indem Sie diese Nachricht mit dem Wort FREE beantworten Für Nutzungsbedingungen besuchen Sie www.07781482378.com",german
ham,"Ich habe gesehen, wie du eine Sekunde online kamst und dann bist du verschwunden, was ist passiert?",german
ham,Bist du gerade bei der Arbeit?,german
ham,Lemme sait ce qui se passe.,french
spam,URGENT! Ihre Handy-Nummer wurde mit einem £2000 Preis GARANTEED ausgezeichnet. Rufen Sie 09058094454 von Land Linie. Anspruch 3030. Nur gültig 12 Stunden,german
ham,?? ????????? ?? ????? ???? ?,hindi
spam,sagt u 2 Anruf 09066358152 zu behaupten £5000 Preis. U haben 2 geben Sie alle ur mobile & persönliche Daten @ die Aufforderungen. Vorsichtig!,german
ham,Wie groß bist du Prinzessin?,german
ham,?????: ??? ??? ???,hindi
ham,Jason says it's cool if we pick some up from his place in like an hour,english
ham,"??? ???, ?? ??? 2hs ?? ??? ??? ?? ??? ???. ??? ???? ?? ??? ??.",hindi
ham,Je le verrai dans une demi-heure.,french
ham,"Each Moment in a day,has its own value-Morning brings hope,afternoon brings faith,Evening brings luv,Night brings rest,Wish u find them all today.Good Morning",english
spam,Am new 2 club & dont fink we met yet Will B gr8 2 C U Bitte verlassen Sie msg 2 day wiv ur Bereich 09099726553 Antwort versprochen CARLIE x Calls£1/minMobsmore LKPOBOX177HP51FL,german
ham,I'm at home. Please call,english
ham,Ich hätte einen Termin vereinbaren sollen.,german
ham,"Hört sich toll an, ich werde jetzt schlafen.",german
spam,"Nouveaux Mobiles à partir de 2004, DOIVENT GO! Txt: NOKIA to No: 89545 & collectionner le vôtre aujourd'hui! À partir de UNIQUEMENT £1. www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION.",french
ham,??? ????? ?? ??? ??? ??... ????? ?? ??? ?? ??ddi ?? ??? ???... ?? ??? ?? ????... ??? ?? ?? ?? ????? ??? ??? ????? ???? ?????? ?? ??? ????...,hindi
ham,"To the wonderful Okors, have a great month. We cherish you guys and wish you well each day. MojiBiola",english
spam,"Für die funkelndsten Einkaufspausen ab 45 pro Person, rufen Sie 0121 2025050 an oder besuchen Sie www.shortbreaks.org.uk",german
ham,Schlafen nt wohl fühlen,german
ham,"Elle est en voiture, plus tard, je porte un short.",french
spam,"Bitte rufen Sie 08712402578 sofort an, da eine dringende Nachricht auf Sie wartet.",german
ham,Thank you baby! I cant wait to taste the real thing...,english
spam,Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth £33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk,english
ham,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,english
ham,"Ja, das wird schon, ich liebe dich.",german
ham,WHO ARE YOU SEEING?,english
ham,"?? ?????? ??, ??? ????? ?? ???? ??.",hindi
ham,Je lécherai chaque goutte :) êtes-vous prêt à utiliser votre bouche aussi?,french
ham,"Soll ich kommen, um Gurke zu holen?",german
spam,IMPORTANT INFORMATION 4 ORANGE USER 0796XXXXXX. TODAY IS UR LUCKY DAY!2 FIND OUT WHY LOG ONTO http://www.urawinner.com THERE'S A FANTASTIC PRIZEAWAITING YOU!,english
ham,"kam, um die Wohnung zu schauen, scheint in Ordnung, in seinen 50er Jahren? * Ist weg viel wiv Arbeit. Haben Frau kommen um 6.30 Uhr auch.",german
ham,"?? ??? ?? ???? ??? ???? ?? ??? ??? ???? ???...... ?? ???? ??? ???? ???????? ?? ???? ??? ??? ??? ??? ?? ????, ?????, ??? ?? ???? ??? ?? ?? ???? ??? ????? ???. ???????.",hindi
ham,?? ?? ????? ??? ?? ???? ???,hindi
ham,"aathi..wo bist du, Liebling..",german
ham,Qu'est-ce que tu fais plus tard?,french
ham,Lol ok ill try to send. Be warned Sprint is dead slow. You'll prolly get it tomorrow,english
ham,K Je serai là avant 4 h.,french
ham,LMAO ???? ???? ?????? ???? ?? ?? ??? ???? ????? ???,hindi
ham,"Just got part Nottingham - 3 hrs 63miles. Good thing i love my man so much, but only doing 40mph. Hey ho",english
ham,What can i do? Might accidant tookplace between somewhere ghodbandar rd. Traffic moves slovely. So plz slip &amp; don't worry.,english
ham,"Ich habe ihm gesagt, dass ich es zurückgeschickt habe.",german
ham,Là la taille des tablettes d'éléphant & u shove um up ur cul!!,french
ham,"Sieht aus wie u wil b bekommen einen headstart im verlassen hier bout 2.30ish aber wenn u r verzweifelt für meine Firma könnte ich in früher gehen-wir waren gehen, um im Sommer zu treffen.",german
ham,??.k: (k) ?? ????? ???? ???? ???,hindi
ham,"Désolé, j'étais dans la salle de bain.",french
ham,Kaiez... Genießen Sie ur Unterricht... Gee... Thk e zweite Option klingt Beta... Ich werde gehen yan Jiu den msg u...,german
ham,What happened to our yo date?,english
ham,Es ist eins neben der Rolltreppe.,german
ham,???? ???? ???? ???,hindi
ham,Where wuld I be without my baby? The thought alone mite break me and I don?t wanna go crazy but everyboy needs his lady xxxxxxxx,english
spam,"1000 flirtet JETZT! Txt GIRL oder BLOKE & ur NAME & AGE, z.B. GIRL ZOE 18 bis 8007 um mitzumachen und zu plaudern!",german
ham,K.then any other special?,english
ham,"Mmmmm... Ich liebe es, heute Morgen zu deinen Worten aufzuwachen! Ich vermisse dich auch, meine Liebe. Ich hoffe, dein Tag geht gut und du bist glücklich. Ich warte darauf, dass wir wieder zusammen sind",german
spam,U ont un amiral secret qui cherche 2 faire contact avec U-find qui ils R*revel qui pense UR si spécial-appel sur 09065171142-stopsms-08718727870150ppm,french
ham,J'aurais besoin d'un demi-huitième.,french
spam,?? ??? ?????? ??? ????? ????,hindi
ham,No need to ke qi... Ü too bored izzit y suddenly thk of this...,english
ham,"?? ???, ????? ????? ???? ????",hindi
ham,Reading gud habit.. Nan bari hudgi yorge pataistha ertini kano:-),english
ham,"S'il te plaît, demande à maman d'appeler papa.",french
ham,"Mein Unterricht ist bei 330. Hm, wir gehen für die 1120 bis 1205 eins?",german
ham,??? ??? array tory kory ??????? ???? ??.,hindi
ham,"Wenn Sie noch wach sind, lassen Sie vielleicht die Kreditkarte, damit ich Gas bekomme, wenn ich zurückkomme, wie er es mir gesagt hat.",german
ham,I enjoy watching and playing football and basketball. Anything outdoors. And you?,english
ham,?? ???? ?? ???.,hindi
ham,?????????? ?? ?? ??? ????? ?? ?????? ????,hindi
spam,CURGERENAN! ???? ?????? ???? ?? ?? <UK> 2000 ???????? GUUREEEGEEGEEGEEGEEEKKKKKER( 0.91717555) ?? ?? ???? ?? ??? ???? ???. 3030. ??? 12hs ???? 150 IMAPm,hindi
ham,"???? ??? 2 ???? ?? ??? ??, 1 ??? ?? ???? ?? ??? ????? ??. ?? ??? ???",hindi
ham,Je pourrais aller 2 sch. Yar au salon e maintenant v ennuyeux.,french
ham,und sie von verschiedenen Punkten abholen,german
ham,"Alors, tu fais ça maintenant?",french
ham,"Er sagte, dass er ein richtiges Kichern hatte, als er u wieder sah! Sie würden möglicherweise die erste Person2die von NVQ sein, aber denken Sie, wie viel Sie für!",german
ham,"?????? ?? ??????, ??? ???? ?????? ?????? ?? ??? ???",hindi
spam,"????????, ??? ????? ?? ??????/pons ?? 1 ??? ??? ??, ??? COLD ?? ???? ?? ??? ??? ?? TILD ?? ???, ???? phom ????? ?? ??? ???? ???, ???? ????? ??? ??? ??? ???? ?? ??? ??? (18p/rphpt2 ??? ?? ???? ??)",hindi
ham,Bientôt tu auras la vraie princesse! Est-ce que je te fais mouiller? :),french
ham,Traurige Geschichte von einem Mann - Letzte Woche war mein b'day. Meine Frau wollte mich nicht. Meine Eltern vergaßen n so meine Kinder. Ich ging zur Arbeit. Sogar meine Kollegen nicht wünschen.,german
ham,"K, je peux prendre un autre 8e quand tu auras fini?",french
ham,????? ?? ????? ?? ???? ?? ?? ???? ?? ???? ??? ?????? ??? ???? ?? ?,hindi
ham,Webpage s not available!,english
ham,"????????, ???? ?????, ???? ??? ???? ????? ??? ???? ??? ???? ?? ????? ???",hindi
ham,Je travaille support technique :)voice process.networking field.,french
ham,Mmmm ... Fuck ... Not fair ! You know my weaknesses ! *grins* *pushes you to your knee's* *exposes my belly and pulls your head to it* Don't forget ... I know yours too *wicked smile*,english
ham,"Vous mettez des photos de votre cul sur facebook. Vous êtes l'une des personnes les plus ouvertes que j'ai jamais rencontrées. Pourquoi je pense qu'une photo de votre chambre vous ferait du mal, vous ferait vous sentir violé.",french
ham,Was ist dann mit einem weiteren Plan?,german
ham,"Ich möchte tel u eine Sache u sollte mich nicht verwechseln k Das ist die Botschaft, die Sie SENT:)",german
ham,Est-ce que tu as trouvé l'heure où le bus est à Coz que j'ai besoin d'arranger des trucs.,french
ham,Oh god. I'm gonna Google nearby cliffs now.,english
ham,??? ???? ????? ???,hindi
ham,S s..first time..dhoni rocks...,english
spam,Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 8000930705,english
ham,Es ist ein toller Tag. Haben Sie einen schönen.,german
ham,Gaid8. slt drms. ????? ????,hindi
ham,"Alors, quand veux-tu faire de la gym?",french
ham,Nun werde ich in 3D schrek sehen!!B),german
ham,"In case you wake up wondering where I am, I forgot I have to take care of something for grandma today, should be done before the parade",english
ham,S jetzt nur ich nahm Tabletten. Reaktion Morgen nur.,german
ham,"?? ??? ???? ????, ?? imw ????",hindi
