labels,text,lang,sentiment
ham,"Ce que j'ai dit avant de le dire, c'est stupide d'entendre après que je ne t'aie rien dit, ton père a appelé mon frère et m'a parlé, pas avec moi.",french,negative
ham,Aber ich esse mit meinem Cousin.,german,neutral
ham,Yarrr... ????? ???? ??? ????... ?? uumon 2 ???? ?? ?????,hindi,neutral
ham,You'd like that wouldn't you? Jerk!,english,positive
ham,"Donne-lui quelque chose à boire, si elle le prend et ne vomit pas, alors tu pourras baisser sa température.",french,neutral
ham,"Okey dokey, i‘ll be over in a bit just sorting some stuff out.",english,neutral
ham,What was she looking for?,english,neutral
ham,"In der Regel kümmert sich der Körper darum zu kaufen, um sicherzustellen, dass es nicht Fortschritte. Können wir pls diesen Vortrag am Samstag fortsetzen.",german,positive
spam,"??? ????????? ?????? ??????, ?? ?? ???? ?? ???? ??? ?? ???? ?????????? ??? ???? ??????? ?? ??? ????? ??? ?? 02073 ?? ??? ???? 2203 ?? 1153 ?? ??? ???? ?? 26 ?????? TMYC ???? ???? ??? DCAT-???? ?????? ???",hindi,neutral
ham,Don no da:)Was hast du vor?,german,negative
ham,Nite...,hindi,neutral
ham,"??, ?? ??? ???? ??? ??? ??",hindi,neutral
ham,Je vous souhaite un bon semestre.,french,neutral
ham,??... ?? ????... ????? ?? ??? ?? ???? ??? ?? ??????,hindi,neutral
spam,"cmon bébé, me faire excité, *tour* moi sur! Txt moi votre fantasme maintenant bébé -) Im chaud, collant et besoin de vous maintenant. Toutes les réponses coût £1.50. 2 annuler envoyer STOP",french,negative
ham,Somebody set up a website where you can play hold em using eve online spacebucks,english,positive
spam,"FREE MESSAGE Aktivieren Sie Ihre 500 FREE Textnachrichten, indem Sie diese Nachricht mit dem Wort FREE beantworten Für Nutzungsbedingungen besuchen Sie www.07781482378.com",german,positive
ham,"Ich habe gesehen, wie du eine Sekunde online kamst und dann bist du verschwunden, was ist passiert?",german,neutral
ham,Bist du gerade bei der Arbeit?,german,neutral
ham,Lemme sait ce qui se passe.,french,neutral
spam,URGENT! Ihre Handy-Nummer wurde mit einem £2000 Preis GARANTEED ausgezeichnet. Rufen Sie 09058094454 von Land Linie. Anspruch 3030. Nur gültig 12 Stunden,german,positive
ham,?? ????????? ?? ????? ???? ?,hindi,neutral
spam,sagt u 2 Anruf 09066358152 zu behaupten £5000 Preis. U haben 2 geben Sie alle ur mobile & persönliche Daten @ die Aufforderungen. Vorsichtig!,german,negative
ham,Wie groß bist du Prinzessin?,german,neutral
ham,?????: ??? ??? ???,hindi,neutral
ham,Jason says it's cool if we pick some up from his place in like an hour,english,positive
ham,"??? ???, ?? ??? 2hs ?? ??? ??? ?? ??? ???. ??? ???? ?? ??? ??.",hindi,neutral
ham,Je le verrai dans une demi-heure.,french,neutral
ham,"Each Moment in a day,has its own value-Morning brings hope,afternoon brings faith,Evening brings luv,Night brings rest,Wish u find them all today.Good Morning",english,neutral
spam,Am new 2 club & dont fink we met yet Will B gr8 2 C U Bitte verlassen Sie msg 2 day wiv ur Bereich 09099726553 Antwort versprochen CARLIE x Calls£1/minMobsmore LKPOBOX177HP51FL,german,positive
ham,I'm at home. Please call,english,positive
ham,Ich hätte einen Termin vereinbaren sollen.,german,neutral
ham,"Hört sich toll an, ich werde jetzt schlafen.",german,neutral
spam,"Nouveaux Mobiles à partir de 2004, DOIVENT GO! Txt: NOKIA to No: 89545 & collectionner le vôtre aujourd'hui! À partir de UNIQUEMENT £1. www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION.",french,neutral
ham,??? ????? ?? ??? ??? ??... ????? ?? ??? ?? ??ddi ?? ??? ???... ?? ??? ?? ????... ??? ?? ?? ?? ????? ??? ??? ????? ???? ?????? ?? ??? ????...,hindi,neutral
ham,"To the wonderful Okors, have a great month. We cherish you guys and wish you well each day. MojiBiola",english,positive
spam,"Für die funkelndsten Einkaufspausen ab 45 pro Person, rufen Sie 0121 2025050 an oder besuchen Sie www.shortbreaks.org.uk",german,negative
ham,Schlafen nt wohl fühlen,german,neutral
