labels,text,lang,sentiment
spam,No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,english,Positive
spam,"Avez-vous entendu parler de la nouvelle ""Divorce Barbie""? Il vient avec tous les trucs de Ken!",french,Neutral
ham,हाय यह अच्छी तरह से जाने के लिए मेरा शुक्रिया!,hindi,Neutral
ham,Donc ça veut dire que tu penses toujours au teju,french,Negative
spam,Senden Sie ein Logo 2 ur Liebhaber - 2 Namen durch ein Herz verbunden. Txt LOVE NAME1 NAME2 MOBNO zB LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36004W45WQ TxtNO 4 keine Anzeigen 150p.,german,Positive
ham,"मैं तुम्हें बाद में फोन करता हूँ, नेटवर्क नहीं है।",hindi,Neutral
ham,Ich meinte Mitte links oder rechts?,german,Neutral
ham,"S.i. denkt, er ist Verschwendung für rr..",german,Neutral
ham,भारत ले जाना है:),hindi,Neutral
spam,CURGERAN! आपके मोबाइल नंबर को 5 पाउंड इनाम GUREEGEEEDEEEKEEEEENDE. 090909090909 को जमीन लाइन से बुलाओ. 3030. वैध 12hs केवल 150 mm.,hindi,Neutral
spam,किसी ने हमारी डेटिंग सेवा से संपर्क किया है और तुम्हारे फोन में प्रवेश किया है क्योंकि वे कल्पना करते हैं!,hindi,Neutral
ham,वे क्या कर रहे हैं?,hindi,Neutral
ham,आप शहर में रह रहे हैं?,hindi,Neutral
ham,Wie geht's deinem Arm?,german,Neutral
ham,Gud mrng liebe hav einen schönen Tag,german,Neutral
ham,"Babe, I'm answering you, can't you see me ? Maybe you'd better reboot YM ... I got the photo ... It's great !",english,Positive
ham,"Sie hat U. D. Urgran Know?Neway, Illspeak 2 U2MORO WONN NOT ASLEP...",german,Neutral
ham,I (Karriere Tel) haben hinzugefügt u als Kontakt auf INDYAROCKS.COM kostenlos SMS zu senden. Aus dem Telefonbuch entfernen - sms NEIN zu &lt;#&gt;,german,Neutral
ham,"Ron a dit que Ding tai feng ne pouvait pas faire de réservation, mais il a dit attends lor.",french,Neutral
ham,Jus finit de se baigner...,french,Neutral
ham,Ill be there on  &lt;#&gt;  ok.,english,Negative
ham,"Et au fait, je viens de perdre.",french,Neutral
ham,Hast du Chechi genannt?,german,Neutral
ham,तुम उसे अब ठीक मैं उसे फोन कहा,hindi,Neutral
ham,No calls..messages..missed calls,english,Negative
ham,Votre avis sur moi? 1. Plus de 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. caractère Spl 7. Pas mature 8. Élégant 9. Simple Pls réponse..,french,Positive
ham,"Don't worry, * is easy once have ingredients!",english,Positive
spam,अपनी LUUCY Hy Hy Hy Herty पूरे दिन WAN और मैं होटल में अकेला ब होगा होटल यू आकर्षक syys पर? कोर 29099996666666L xlick1 /MONTLONP7775LL,hindi,Neutral
ham,"By march ending, i should be ready. But will call you for sure. The problem is that my capital never complete. How far with you. How's work and the ladies",english,Neutral
ham,"Von jemandem, der nicht raucht, wenn ich jedes Mal in den letzten zwei Wochen geraucht habe, weil du mich anrufst oder simst, dass du rauchen wolltest",german,Neutral
ham,"C'est comme un timing bizarre que la nuit que vous voulez, c'est que je vienne fumer, c'est le même jour qu'une tempête de merde m'est attribuée à toujours venir et faire fumer tout le monde.",french,Negative
ham,"Elle était supposée l'être mais ne pouvait pas y arriver, mais elle est toujours en ville.",french,Neutral
ham,Tu peux te rappeler des choses dont tu veux te souvenir plus tard.,french,Negative
ham,"aathi..wo bist du, Liebling..",german,Neutral
spam,Kamera - Sie erhalten eine SiPix Digitalkamera! Telefon 09061221066 ausm Festnetz. Lieferung innerhalb von 28 Tagen.,german,Neutral
ham,मुझे नहीं पता ओह. उम्मीद है कि इस महीने.,hindi,Neutral
ham,IDPS basé sur l'hôte pour les systèmes linux.,french,Neutral
ham,"Sehr gut, halte mich auf dem Laufenden.",german,Neutral
ham,अच्छी तरह से. मैं तुम्हारे बारे में चिंतित हो रही थी. बस पता है कि आप की तरह एक अद्भुत और परवाह व्यक्ति केवल जीवन में सबसे अच्छा होगा. पता है कि यू आर और भगवान का प्यार तुम्हारा है.,hindi,Neutral
ham,"आप कॉल के लिए धन्यवाद. सरजी आप को खुश करने के लिए धन्यवाद. मैं यहाँ अच्छा हूँ और तुम्हें याद है जब मैं एक बीमा व्यक्ति से मुलाकात की. मैं एक बीमा व्यक्ति में आप hotaph. arakah, जो sakaaay, जो stapay, जो में शामिल हो गया था.",hindi,Neutral
ham,Err... Cud do. I'm going to  at 8pm. I haven't got a way to contact him until then.,english,Neutral
ham,Auntie huai juan never pick up her phone,english,Neutral
ham,I surely dont forgot to come:)i will always be in touch in with you:-),english,Positive
ham,Jordan got voted out last nite!,english,Neutral
ham,"Spielen im Weltraum Poker, u?",german,Neutral
ham,Ich bitte Sie nicht um Freundschaft.,german,Neutral
ham,"Une citation célèbre : lorsque vous développez la capacité d'écouter « n'importe quoi » inconditionnellement sans perdre votre tempérament ou votre confiance en vous, cela signifie que vous êtes..................... ""MARRIED""",french,Neutral
ham,अब मैं घर पर आया हूँ,hindi,Neutral
ham,"Ich kann jetzt nicht mit dir reden. Ich werde anrufen, wenn ich kann.",german,Neutral
ham,Babe? You said 2 hours and it's been almost 4 ... Is your internet down ?,english,Neutral
ham,"Nun, hier rechts muss ich aufstehen und die heutigen Dampfverkäufe/Pee überprüfen, also simse mir, wenn du willst, dass ich dich hole.",german,Negative
ham,Suis-je si sale?,french,Neutral
ham,J'espère que vous avez énervé Arnt mais id aimerait vraiment vous voir demain. Aimez-moi xxxxxxxxxxX,french,Neutral
spam,Babe: U want me dont u baby! Im nasty and have a thing 4 filthyguys. Fancy a rude time with a sexy bitch. How about we go slo n hard! Txt XXX SLO(4msgs),english,Negative
ham,मुझे कुछ रोमांचक हुआ है? मुझे बताओ कि वहाँ क्या हुआ है?,hindi,Neutral
ham,"Passez une belle nuit et quand vous vous réveillerez pour voir ce message, j'espère que vous sourire en sachant que tout est comme il devrait être.",french,Negative
ham,La longueur est e même mais e top plus court n j'ai une frange maintenant. Je ne vais pas liao. Trop paresseux. Dun wan 2 distraire u aussi.,french,Positive
ham,अगर उसने खोज शुरू की तो उसे कुछ ही दिनों में नौकरी मिल जाएगी ।,hindi,Neutral
ham,"THANX4 TODAY CER Es war NICE 2 CATCH UP, aber wir haben 2 finden mehr Zeit mehr oft OH WELL Take C U SOON.C",german,Positive
spam,शिखर का यहोवा: अब दुकान में राजा की रक्षा!,hindi,Neutral
spam,Kit Strip - Sie wurden 150S in Rechnung gestellt. Netcollex Ltd. PO Box 1013 IG11 OJA,german,Negative
ham,सिर्फ 12 बजे ही किया जाएगा,hindi,Neutral
ham,"यह शांत है, हम एक छोटे से लंबे समय तक रह सकते हैं. जल्दी ही किसी भी समय हो रही हो?",hindi,Neutral
ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",english,Positive
spam,"-PLS STOP bootydelious (32/F) lädt Sie ein, ihr Freund zu sein. Antworten Sie YES-434 oder NO-434 Sehen Sie sie: www.SMS.ac/u/bootydelious STOP? Senden STOP FRND an 62468",german,Negative
ham,"प्रौढ़ता का चिन्ह तब नहीं है जब हम बड़ी बातों को शुरू करते हैं. लेकिन असल में, जब हम छोटी बातों को शुरू करते हैं... *",hindi,Neutral
spam,Dringend! Bitte rufen Sie 09061213237 aus dem Festnetz. £5000 Bargeld oder ein Luxus 4 * Kanarische Inseln Urlaub warten Sammlung. T&Cs SAE PO Box 177. M227XY. 150ppm. 16+,german,Negative
ham,"K, wen ur free come to my home and also tel vikky i hav sent mail to him also.. Better come evening il be free today aftr 6pm..:-)",english,Positive
spam,"Hi this is Amy, we will be sending you a free phone number in a couple of days, which will give you an access to all the adult parties...",english,Positive
ham,"परमेश्वर ने पूछा, क्षमा क्या है? एक छोटे से बालक ने मीठी उत्तर दिया, कि जब एक पेड़ को पत्थर से चोट लगती है, तब वह अच्छा फल देता है; अच्छा रात...",hindi,Neutral
ham,"Versuchst du mich dazu zu bringen, mich von einer Klippe zu werfen oder so?",german,Neutral
ham,"Non, ça veut juste dire que tu as une grosse tête",french,Negative
ham,aathi..où es-tu cher..,french,Neutral
ham,Das ist meine Nummer von vivek..,german,Neutral
ham,"LOL .. *grins* .. I'm not babe, but thanks for thinking of me!",english,Negative
ham,Je suis quelqu'un qui fait un sondage...,french,Neutral
spam,L'argent que j'ai gagné le numéro 946 wot do i do next,french,Neutral
ham,Je ne sais pas jusqu'à quand... allons apprendre les pilates...,french,Neutral
ham,"प्यार एक निर्णय नहीं है, यह एक भावना है. यदि हम कर सकते हैं जो प्यार करने के लिए, तो, जीवन बहुत सरल होगा, लेकिन फिर कम जादुई हो जाएगा",hindi,Neutral
ham,"वास्तव में दोस्त नहीं है, कोई दोस्त मैं डर रहा हूँ: (",hindi,Neutral
ham,"Prost für die Nachricht Zoggorius. Ich habe auf mein Telefon starren für ein Alter entscheiden, ob zu texten oder nicht.",german,Negative
spam,100 dating service cal;l 09064012103 box334sk38ch,english,Neutral
ham,"We spend our days waiting for the ideal path to appear in front of us.. But what we forget is.. ""paths are made by walking.. not by waiting.."" Goodnight!",english,Negative
ham,"Nichts kommt mir in den Sinn. Ü mir helfen, Kleiderbügel lor kaufen. Ur Laptop nicht schwer?",german,Neutral
ham,Desires- u going to doctor 4 liver. And get a bit stylish. Get ur hair managed. Thats it.,english,Neutral
ham,तुम लोग आने पर योजना बना रहे हो?,hindi,Neutral
